lx1;ly1;lz3;u11;u12;u13;v11;v12;v13;p11;p12;p13;res(u11);res(u12);res(u13);res(v11);res(v12);res(v13);res(p11);res(p12);res(p13);res_u11;res_u12;res_u13;res_v11;res_v12;res_v13;res_p11;res_p12;res_p13;cell_re1;lx2;ly2;lz2;u21;u22;u23;v21;v22;v23;p21;p22;p23;res(u21);res(u22);res(u23);res(v21);res(v22);res(v23);res(p21);res(p22);res(p23);res_u21;res_u22;res_u23;res_v21;res_v22;res_v23;res_p21;res_p22;res_p23;cell_re2;lx3;ly3;lz3;u31;u32;u33;v31;v32;v33;p31;p32;p33;res(u31);res(u32);res(u33);res(v31);res(v32);res(v33);res(p31);res(p32);res(p33);res_u31;res_u32;res_u33;res_v31;res_v32;res_v33;res_p31;res_p32;res_p33;cell_re3;lx4;ly4;lz4;u41;u42;u43;v41;v42;v43;p41;p42;p43;res(u41);res(u42);res(u43);res(v41);res(v42);res(v43);res(p41);res(p42);res(p43);res_u41;res_u42;res_u43;res_v41;res_v42;res_v43;res_p41;res_p42;res_p43;cell_re4;num_iter;CFL_pred;x;y;u_av;v_av;p_av
0,000894849;0,001172773;0,00125;0,009688896;0;0;3,75377E-05;0;0;0,002661224;0,003805698;0,003447758;-1,74355E-08;0;0;1,47642E-08;0;0;-1,78655E-07;7,36032E-08;-2,88414E-07;0,868036856;-1,091514901;0,32132785;-2,910031961;-0,462585965;-0,71080107;-69,62553553;33,02508956;-262,5546726;0,562642891;3;300;0,139298381;0,000267627;0,003229632;1,25126E-05;0,003304893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001172773;0,00095217;0,001222222;0,009688896;0;0,014747125;3,75377E-05;0;-0,000725944;0,002661224;0,003447758;0,001822787;-1,74355E-08;0;1,64354E-07;1,47642E-08;0;-4,76074E-09;-1,78655E-07;-2,88414E-07;1,29721E-06;0,868036856;0,32132785;-5,489553706;-2,910031961;-0,71080107;-8,687894148;-69,62553553;-262,5546726;-52,65228559;1,506516275;3;300;0,139715048;0,000675034;0,00814534;-0,000229469;0,002643923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001089391;0,001125575;0,00125;0,010977918;0;0;-1,98564E-05;0;0;0,004789697;0,005991621;0,003805698;8,32045E-08;0;0;4,68055E-08;0;0;3,26504E-07;-3,34789E-08;7,36032E-08;-1,720428989;-1,507060692;-1,091514901;-0,053586057;-0,017921609;-0,462585965;-15,95099198;9,444468411;33,02508956;0,684623728;3;300;0,138114314;0,00030463;0,003659306;-6,61879E-06;0,004862339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001058042;0,000894849;0,001125575;0,009688896;0,010977918;0;3,75377E-05;-1,98564E-05;0;0,002661224;0,004789697;0,003805698;-1,74355E-08;8,32045E-08;0;1,47642E-08;4,68055E-08;0;-1,78655E-07;3,26504E-07;7,36032E-08;0,868036856;-1,720428989;-1,091514901;-2,910031961;-0,053586057;-0,462585965;-69,62553553;-15,95099198;33,02508956;1,24726662;3;300;0,138662695;0,000572257;0,006888938;5,89379E-06;0,003752206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001252485;0,001222222;0,001295614;0,026345994;0,021023186;0,014747125;-0,000501104;-8,73472E-05;-0,000725944;0,002336648;0,002829687;0,001822787;9,50856E-07;1,31892E-06;1,64354E-07;2,70925E-07;2,28455E-07;-4,76074E-09;4,71364E-07;4,70963E-07;1,29721E-06;-4,238884403;0,180377251;-5,489553706;-9,232821883;-4,680230977;-8,687894148;113,4705363;55,97072782;-52,65228559;4,21984591;3;300;0,139627592;0,001848319;0,020705435;-0,000438132;0,002329707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,00095217;0,001106953;0,001295614;0,009688896;0,014747125;0,021023186;3,75377E-05;-0,000725944;-8,73472E-05;0,002661224;0,001822787;0,002829687;-1,74355E-08;1,64354E-07;1,31892E-06;1,47642E-08;-4,76074E-09;2,28455E-07;-1,78655E-07;1,29721E-06;4,70963E-07;0,868036856;-5,489553706;0,180377251;-2,910031961;-8,687894148;-4,680230977;-69,62553553;-52,65228559;55,97072782;2,885195954;3;300;0,13934264;0,001301131;0,015153069;-0,000258584;0,002437899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001106953;0,001058042;0,00124656;0,009688896;0,021023186;0,010977918;3,75377E-05;-8,73472E-05;-1,98564E-05;0,002661224;0,002829687;0,004789697;-1,74355E-08;1,31892E-06;8,32045E-08;1,47642E-08;2,28455E-07;4,68055E-08;-1,78655E-07;4,70963E-07;3,26504E-07;0,868036856;0,180377251;-1,720428989;-2,910031961;-4,680230977;-0,053586057;-69,62553553;55,97072782;-15,95099198;2,625946299;3;300;0,138706954;0,001198354;0,013896666;-2,32219E-05;0,00342687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001136463;0,001222222;0,001238697;0,036799721;0,032509562;0,026345994;-0,000418415;-0,000109858;-0,000501104;0,001355371;0,002854452;0,002336648;1,0904E-06;2,66424E-06;9,50856E-07;6,83852E-07;5,54E-07;2,70925E-07;8,56444E-09;-1,32702E-06;4,71364E-07;-3,026298355;-0,421925688;-4,238884403;-8,379650878;-5,084995621;-9,232821883;51,6710703;63,18286781;113,4705363;6,661906045;3;300,0000006;0,139661764;0,003088668;0,031885092;-0,000343126;0,002182157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001238697;0,001252485;0,001280711;0,026345994;0,032509562;0,021023186;-0,000501104;-0,000109858;-8,73472E-05;0,002336648;0,002854452;0,002829687;9,50856E-07;2,66424E-06;1,31892E-06;2,70925E-07;5,54E-07;2,28455E-07;4,71364E-07;-1,32702E-06;4,70963E-07;-4,238884403;-0,421925688;0,180377251;-9,232821883;-5,084995621;-4,680230977;113,4705363;63,18286781;55,97072782;5,470011671;3;300,0000006;0,139289356;0,002492543;0,026626247;-0,00023277;0,002673596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001180124;0,001164054;0,00125;0,011848258;0;0;-1,02991E-05;0;0;0,007131727;0,008272286;0,005991621;6,3092E-08;0;0;1,32735E-08;0;0;1,60397E-07;-3,20685E-09;-3,34789E-08;-1,551118869;-1,453507637;-1,507060692;0,062278855;0,000696556;-0,017921609;-0,483422351;-0,678296365;9,444468411;0,782625181;3;300;0,136880023;0,000330489;0,003949419;-3,43304E-06;0,007131878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
