lx1;ly1;lz3;u11;u12;u13;v11;v12;v13;p11;p12;p13;res(u11);res(u12);res(u13);res(v11);res(v12);res(v13);res(p11);res(p12);res(p13);res_u11;res_u12;res_u13;res_v11;res_v12;res_v13;res_p11;res_p12;res_p13;cell_re1;lx2;ly2;lz2;u21;u22;u23;v21;v22;v23;p21;p22;p23;res(u21);res(u22);res(u23);res(v21);res(v22);res(v23);res(p21);res(p22);res(p23);res_u21;res_u22;res_u23;res_v21;res_v22;res_v23;res_p21;res_p22;res_p23;cell_re2;lx3;ly3;lz3;u31;u32;u33;v31;v32;v33;p31;p32;p33;res(u31);res(u32);res(u33);res(v31);res(v32);res(v33);res(p31);res(p32);res(p33);res_u31;res_u32;res_u33;res_v31;res_v32;res_v33;res_p31;res_p32;res_p33;cell_re3;lx4;ly4;lz4;u41;u42;u43;v41;v42;v43;p41;p42;p43;res(u41);res(u42);res(u43);res(v41);res(v42);res(v43);res(p41);res(p42);res(p43);res_u41;res_u42;res_u43;res_v41;res_v42;res_v43;res_p41;res_p42;res_p43;cell_re4;num_iter;CFL_pred;x;y;u_av;v_av;p_av
0,001520405;0,001434494;0,001679837;0,004321303;0,009450627;0,019814308;0,000106861;-0,000717356;-0,003384813;0,002944622;0,001783692;-0,000683195;7,56982E-07;2,56042E-06;4,81548E-06;-6,16314E-08;2,33598E-06;5,14912E-06;-5,72853E-07;4,26233E-05;-1,36759E-05;-1,06465983;-0,310475542;-1,150067786;-0,147540211;-2,313703865;-3,468830452;-36,69233898;6,462820379;26,36099583;2,943375707;1;300,2873812;0,137720949;0,001971363;0,007625264;-0,000158686;0,002358668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001283506;0,001489103;0,001679837;0,018532658;0,019814308;0,009450627;-0,001720497;-0,003384813;-0,000717356;0,000216329;-0,000683195;0,001783692;-1,70431E-06;4,81548E-06;2,56042E-06;8,36057E-06;5,14912E-06;2,33598E-06;2,34957E-05;-1,36759E-05;4,26233E-05;0,280902337;-1,150067786;-0,310475542;-4,12656129;-3,468830452;-2,313703865;37,76159043;26,36099583;6,462820379;4,261676578;1;300,3745673;0,137706201;0,002741359;0,010499439;-0,000325154;0,001971233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001390291;0,001429602;0,001521484;0;0,004321303;0;0;0,000106861;0;0,00268241;0,002944622;0,003219999;0;7,56982E-07;0;0;-6,16314E-08;0;6,99593E-07;-5,72853E-07;-2,60602E-07;-0,796400458;-1,06465983;-0,632124586;0,021067805;-0,147540211;0,030437925;-5,841874695;-36,69233898;2,728645813;0,336668831;1;300,0573461;0,136892462;0,000791512;0,002988817;7,34668E-05;0,002778864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001417967;0,001434494;0,001521484;0,019814308;0;0,004321303;-0,003384813;0;0,000106861;-0,000683195;0,003219999;0,002944622;4,81548E-06;0;7,56982E-07;5,14912E-06;0;-6,16314E-08;-1,36759E-05;-2,60602E-07;-5,72853E-07;-1,150067786;-0,632124586;-1,06465983;-3,468830452;0,030437925;-0,147540211;26,36099583;2,728645813;-36,69233898;2,172164571;1;300,1434242;0,136900213;0,001589342;0,006023438;0,000118279;0,00266729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001448517;0,001429602;0,001554054;0;0,004925753;0;0;8,7501E-05;0;0,003219999;0,003048785;0,00268241;0;3,79633E-07;0;0;-1,14806E-07;0;-2,60602E-07;2,31566E-06;6,99593E-07;-0,632124586;-0,746123973;-0,796400458;0,030437925;0,057832407;0,021067805;2,728645813;-4,015204335;-5,841874695;0,407527171;1;300,0242861;0,136120703;0,000403719;0,001548382;3,78466E-05;0,002705767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001508537;0,001528152;0,001571429;0;0,016795944;0,00513188;0;-0,003980597;6,43453E-05;0,003896162;-5,75659E-05;0,003620927;0;-1,23513E-06;2,43853E-07;0;5,4802E-06;-8,77332E-08;-1,36194E-07;-4,05833E-05;1,31814E-06;-0,598615183;-0,205846413;-0,653079295;0,022409316;-4,552108558;0,065057959;3,888568625;53,82946198;1,17904438;1,973721276;1;300,3445205;0,139566954;0,005493683;0,01838097;-0,003028636;-0,000174811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001508537;0,001461659;0,00151458;0,016795944;0;0,014802403;-0,003980597;0;-0,001677171;-5,75659E-05;0,003896162;0,000822688;-1,23513E-06;0;9,50913E-07;5,4802E-06;0;6,26217E-06;-4,05833E-05;-1,36194E-07;5,3053E-05;-0,205846413;-0,598615183;0,220555583;-4,552108558;0,022409316;-4,215994999;53,82946198;3,888568625;32,45620483;2,820482192;1;300,5122073;0,139148209;0,004720803;0,016710335;-0,002459422;0,00032715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001425176;0,001428559;0,00151458;0,024217352;0,014802403;0;0,000353648;-0,001677171;0;-0,00062546;0,000822688;0,003896162;4,21973E-06;9,50913E-07;0;-1,85282E-06;6,26217E-06;0;1,62573E-05;5,3053E-05;-1,36194E-07;-1,347378824;0,220555583;-0,598615183;0,923205457;-4,215994999;0,022409316;57,45850179;32,45620483;3,888568625;3,471721519;1;300,4993621;0,138319399;0,004711581;0,016629965;-0,001307656;0,000744852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001237634;0,00121699;0,001425176;0,018532658;0,014802403;0,024217352;-0,001720497;-0,001677171;0,000353648;0,000216329;0,000822688;-0,00062546;-1,70431E-06;9,50913E-07;4,21973E-06;8,36057E-06;6,26217E-06;-1,85282E-06;2,34957E-05;5,3053E-05;1,62573E-05;0,280902337;0,220555583;-1,347378824;-4,12656129;-4,215994999;0,923205457;37,76159043;32,45620483;57,45850179;5,126691221;1;300,4725341;0,137955402;0,004042354;0,014767021;-0,000865005;0,001266847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,00121699;0,001373767;0,001483115;0,018532658;0,024217352;0,023304871;-0,001720497;0,000353648;-0,000985256;0,000216329;-0,00062546;-0,000472924;-1,70431E-06;4,21973E-06;6,70486E-06;8,36057E-06;-1,85282E-06;5,41595E-06;2,34957E-05;1,62573E-05;1,42589E-05;0,280902337;-1,347378824;-1,285750838;-4,12656129;0,923205457;-2,323046595;37,76159043;57,45850179;42,63364814;6,003300907;1;300,3767852;0,137136845;0,004003744;0,014494055;-0,000252683;0,001740303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001287076;0,001142296;0,001483115;0,023297496;0,023304871;0,024217352;0,000998313;-0,000985256;0,000353648;-0,000505529;-0,000472924;-0,00062546;6,59827E-06;6,70486E-06;4,21973E-06;-5,39536E-06;5,41595E-06;-1,85282E-06;1,41409E-05;1,42589E-05;1,62573E-05;-1,338054914;-1,285750838;-1,347378824;2,409439868;-2,323046595;0,923205457;43,67556005;42,63364814;57,45850179;6,461621309;1;300,3206435;0,136753727;0,004554908;0,016042117;-0,000131562;0,001734677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001373767;0,001283506;0,001586897;0,018532658;0,023304871;0,019814308;-0,001720497;-0,000985256;-0,003384813;0,000216329;-0,000472924;-0,000683195;-1,70431E-06;6,70486E-06;4,81548E-06;8,36057E-06;5,41595E-06;5,14912E-06;2,34957E-05;1,42589E-05;-1,36759E-05;0,280902337;-1,285750838;-1,150067786;-4,12656129;-2,323046595;-3,468830452;37,76159043;42,63364814;26,36099583;5,641469141;1;300,3406146;0,136937371;0,003239368;0,012010399;-3,27704E-05;0,002124354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
