lx1;ly1;lz3;u11;u12;u13;v11;v12;v13;p11;p12;p13;res(u11);res(u12);res(u13);res(v11);res(v12);res(v13);res(p11);res(p12);res(p13);res_u11;res_u12;res_u13;res_v11;res_v12;res_v13;res_p11;res_p12;res_p13;cell_re1;lx2;ly2;lz2;u21;u22;u23;v21;v22;v23;p21;p22;p23;res(u21);res(u22);res(u23);res(v21);res(v22);res(v23);res(p21);res(p22);res(p23);res_u21;res_u22;res_u23;res_v21;res_v22;res_v23;res_p21;res_p22;res_p23;cell_re2;lx3;ly3;lz3;u31;u32;u33;v31;v32;v33;p31;p32;p33;res(u31);res(u32);res(u33);res(v31);res(v32);res(v33);res(p31);res(p32);res(p33);res_u31;res_u32;res_u33;res_v31;res_v32;res_v33;res_p31;res_p32;res_p33;cell_re3;lx4;ly4;lz4;u41;u42;u43;v41;v42;v43;p41;p42;p43;res(u41);res(u42);res(u43);res(v41);res(v42);res(v43);res(p41);res(p42);res(p43);res_u41;res_u42;res_u43;res_v41;res_v42;res_v43;res_p41;res_p42;res_p43;cell_re4;num_iter;CFL_pred;x;y;u_av;v_av;p_av
0,001322098;0,001741114;0,001854839;0,010763788;0;0;-4,36685E-05;0;0;-0,002237664;-0,00093366;-0,004876398;-1,30874E-06;0;0;3,78641E-07;0;0;-2,44196E-08;-3,66701E-07;-1,92279E-06;1,252541253;-0,431248875;0,345824346;-1,616551532;-0,315984013;-0,483340405;-24,65121347;47,15645345;-185,7540123;0,926540014;2;300,0027217;0,138957248;0,000395796;0,003587929;-1,45562E-05;-0,002682574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001741114;0,001427877;0,001833333;0,010763788;0;0,016838465;-4,36685E-05;0;-0,001083942;-0,002237664;-0,004876398;-0,00201012;-1,30874E-06;0;-2,01558E-06;3,78641E-07;0;8,36791E-07;-2,44196E-08;-1,92279E-06;-6,82583E-06;1,252541253;0,345824346;-2,434902595;-1,616551532;-0,483340405;-5,030130447;-24,65121347;-185,7540123;-50,18394592;2,541768571;2;300,0069683;0,139575528;0,001006907;0,009200751;-0,00037587;-0,003041394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001574675;0,001653966;0,001854839;0,011521864;0;0;-1,16057E-05;0;0;0,002263702;0,004450362;-0,00093366;-1,15935E-06;0;0;2,126E-07;0;0;3,81465E-06;7,14561E-08;-3,66701E-07;-0,797753875;-0,887383353;-0,431248875;-0,016686491;-0,055439353;-0,315984013;-2,680289782;17,08438157;47,15645345;1,064432215;2;300,0034708;0,137194739;0,000440042;0,003840621;-3,86855E-06;0,001926801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001583425;0,001322098;0,001653966;0,010763788;0,011521864;0;-4,36685E-05;-1,16057E-05;0;-0,002237664;0,002263702;-0,00093366;-1,30874E-06;-1,15935E-06;0;3,78641E-07;2,126E-07;0;-2,44196E-08;3,81465E-06;-3,66701E-07;1,252541253;-0,797753875;-0,431248875;-1,616551532;-0,016686491;-0,315984013;-24,65121347;-2,680289782;47,15645345;1,990972229;2;300,0055397;0,138006826;0,000835838;0,007428551;-1,84247E-05;-0,000302541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001881182;0,001833333;0,001913535;0,027552149;0,022297389;0,016838465;-0,001366496;-0,000565742;-0,001083942;0,007991921;0,001616024;-0,00201012;-9,05419E-07;1,909E-06;-2,01558E-06;3,2036E-06;3,35196E-06;8,36791E-07;-1,17007E-05;2,38283E-05;-6,82583E-06;-2,290176279;0,486985794;-2,434902595;-5,040558128;-2,858810602;-5,030130447;25,03560428;37,71976098;-50,18394592;6,802371304;2;300,0279522;0,139446342;0,002761161;0,022229334;-0,001005393;0,002532608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001427877;0,001642473;0,001913535;0,010763788;0,016838465;0,022297389;-4,36685E-05;-0,001083942;-0,000565742;-0,002237664;-0,00201012;0,001616024;-1,30874E-06;-2,01558E-06;1,909E-06;3,78641E-07;8,36791E-07;3,35196E-06;-2,44196E-08;-6,82583E-06;2,38283E-05;1,252541253;-2,434902595;0,486985794;-1,616551532;-5,030130447;-2,858810602;-24,65121347;-50,18394592;37,71976098;4,741562637;2;300,0207396;0,13902187;0,001934735;0,016633214;-0,000564451;-0,000877253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001642473;0,001583425;0,001886323;0,010763788;0,022297389;0,011521864;-4,36685E-05;-0,000565742;-1,16057E-05;-0,002237664;0,001616024;0,002263702;-1,30874E-06;1,909E-06;-1,15935E-06;3,78641E-07;3,35196E-06;2,126E-07;-2,44196E-08;2,38283E-05;3,81465E-06;1,252541253;0,486985794;-0,797753875;-1,616551532;-2,858810602;-0,016686491;-24,65121347;37,71976098;-2,680289782;4,190766295;2;300,0194435;0,138071448;0,001763666;0,014861014;-0,000207005;0,000547354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001705023;0,001833333;0,001844265;0,036909782;0,033030442;0,027552149;-0,001282729;-0,00074727;-0,001366496;0,013333837;0,009315222;0,007991921;-4,33931E-08;4,02931E-06;-9,05419E-07;4,40939E-06;5,51541E-06;3,2036E-06;-1,89627E-06;-2,18333E-06;-1,17007E-05;-1,828101248;0,609702827;-2,290176279;-4,716445047;-3,827563917;-5,040558128;-0,219062841;53,81398455;25,03560428;10,20425331;2;360,6719587;0,139494941;0,004628261;0,032497458;-0,001132165;0,01021366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001844265;0,001881182;0,001940121;0,027552149;0,033030442;0,022297389;-0,001366496;-0,00074727;-0,000565742;0,007991921;0,009315222;0,001616024;-9,05419E-07;4,02931E-06;1,909E-06;3,2036E-06;5,51541E-06;3,35196E-06;-1,17007E-05;-2,18333E-06;2,38283E-05;-2,290176279;0,609702827;0,486985794;-5,040558128;-3,827563917;-2,858810602;25,03560428;53,81398455;37,71976098;8,538186032;2;360,6758609;0,138941283;0,003722756;0,02762666;-0,000893169;0,006307722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001749898;0,001713626;0,001854839;0,012690746;0;0;-7,05904E-06;0;0;0,006919483;0,008728118;0,004450362;-2,41266E-07;0;0;-4,02439E-08;0;0;1,08385E-06;1,46501E-07;7,14561E-08;-0,916437495;-0,963463899;-0,887383353;0,031944888;-0,007320933;-0,055439353;8,896085287;0,530870404;17,08438157;1,249619857;2;300,0031959;0,135374192;0,000487405;0,004230249;-2,35301E-06;0,006699321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001574675;0,001713626;0,001757717;0;0,011521864;0,012690746;0;-1,16057E-05;-7,05904E-06;0,004450362;0,002263702;0,006919483;0;-1,15935E-06;-2,41266E-07;0;2,126E-07;-4,02439E-08;7,14561E-08;3,81465E-06;1,08385E-06;-0,887383353;-0,797753875;-0,916437495;-0,055439353;-0,016686491;0,031944888;17,08438157;-2,680289782;8,896085287;2,314052072;2;300,0061254;0,136278608;0,000927447;0,00807087;-6,22157E-06;0,004544516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
