NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
10;100;35;12;14;100;0.014;0.01
16;100;33;11;17;32;0.016;0.01
13;51;31;13;15;26;0.018;0.01
9;28;35;14;17;100;0.02;0.01
10;25;27;13;15;42;0.022;0.01
13;100;40;100;100;24;0.014;0.03
13;100;43;100;60;100;0.016;0.03
17;100;47;49;30;23;0.018;0.03
20;100;44;31;42;26;0.02;0.03
17;57;34;24;31;100;0.022;0.03
100;100;100;100;100;22;0.014;0.05
52;100;44;100;100;22;0.016;0.05
26;100;39;100;100;100;0.018;0.05
26;100;45;28;38;22;0.02;0.05
24;100;36;33;35;27;0.022;0.05
