NN;E;Iter;Constant;Automatic;u_in;max_size
4;13;23;8;13;0.006;0.0028
5;13;22;9;8;0.008;0.0032
5;12;21;9;9;0.01;0.0036
6;12;20;10;9;0.006;0.0040
6;12;18;10;10;0.008;0.0044
5;15;27;9;10;0.01;0.0028
6;15;26;10;9;0.006;0.0032
6;14;23;11;10;0.008;0.0036
7;16;23;13;11;0.01;0.0040
8;15;21;14;13;0.006;0.0044
6;19;30;10;14;0.008;0.0028
7;18;29;12;10;0.01;0.0032
7;17;28;13;12;0.006;0.0036
9;14;28;14;13;0.008;0.0040
10;12;27;11;14;0.01;0.0044
