NN;E;Iter;Constant;Automatic;ANDERSON;x;y;;;;;;;;;;;;;;x;y
15;99;100;100;25;100;0.37;0.035;;;;;;;;;;;;;;0.37;0.035
13;100;47;47;37;96;0.37;0.04;;;;;;;;;;;;;;0.37;0.04
16;100;44;45;100;95;0.37;0.045;;;;;;;;;;;;;;0.37;0.045
19;93;100;100;29;97;0.37;0.05;;;;;;;;;;;;;;0.37;0.05
11;53;12;12;19;97;0.37;0.055;;;;;;;;;;;;;;0.37;0.055
13;25;14;14;13;83;0.37;0.06;;;;;;;;;;;;;;0.37;0.06
13;23;16;16;15;100;0.37;0.065;;;;;;;;;;;;;;0.37;0.065
11;25;15;15;14;90;0.37;0.07;;;;;;;;;;;;;;0.37;0.07
12;35;12;12;26;100;0.37;0.075;;;;;;;;;;;;;;0.37;0.075
13;71;26;26;100;100;0.37;0.08;;;;;;;;;;;;;;0.37;0.08
12;100;100;100;45;100;0.3;0.04;;;;;;;;;;;;;;0.3;0.04
21;100;100;100;100;86;1.1;0.04;;;;;;;;;;;;;;1.1;0.04
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; ;;;;;;;;;;;;
