NN;E;Iter;Constant;Automatic;ANDERSON;u_in;maxsize
10;100;37;12;14;100;0.014;0.01
16;39;40;13;18;29;0.016;0.01
15;28;37;13;17;22;0.018;0.01
12;26;36;13;16;100;0.02;0.01
9;21;35;15;17;23;0.022;0.01
100;100;100;100;100;24;0.014;0.03
27;100;59;100;100;100;0.016;0.03
26;100;55;100;71;25;0.018;0.03
25;100;50;100;100;26;0.02;0.03
25;98;44;32;100;100;0.022;0.03
100;100;100;100;52;32;0.014;0.05
100;100;100;100;47;28;0.016;0.05
100;100;100;100;100;100;0.018;0.05
29;100;52;100;58;37;0.02;0.05
39;100;53;100;71;27;0.022;0.05
